Radio_type,MCC,MNC,Location_Code,CID,Latitude,Longitude,Range,Samples,Change=1,Change=0,Created,Updated,av_signal
GSM,645,3,10003,60042,0,28.311497,-15.42589,3346,682,1,1485838014,1567051345,0
GSM,645,2,925,5059,0,29.490453,-11.364594,4811,9,1,1458854222,1511868465,0
UMTS,645,1,100,96501,0,28.32756042,-15.38978577,1000,1,1,1437013590,1437013590,0
UMTS,645,1,130,106460,0,28.18061829,-15.37055969,1000,1,1,1428758617,1428758617,0
UMTS,645,1,155,161248,0,28.16551208,-15.74272156,1000,1,1,1457184705,1457184705,0
UMTS,645,1,100,106611,0,28.42918396,-15.40214539,1000,1,1,1428479329,1428479329,0
UMTS,645,1,130,165027,0,28.10920715,-15.35133362,1000,1,1,1432381785,1432381785,0
UMTS,645,1,100,104570,0,28.32756042,-15.39115906,1000,1,1,1430365672,1430365672,0
UMTS,645,1,160,95607,0,28.36051941,-15.42823792,1000,1,1,1408433793,1408433793,0
UMTS,645,1,105,95771,0,28.3921051,-15.39390564,1000,1,1,1429001173,1429001173,0
UMTS,645,1,123,106272,0,28.28636169,-15.40763855,1000,1,1,1434292107,1434292107,0
UMTS,645,1,1008,95652,0,28.259811,-15.397568,1352,3,1,1458861234,1491972105,0
UMTS,645,1,105,95847,0,28.42781067,-15.3993988,1000,1,1,1433604822,1433604822,0
UMTS,645,1,105,95768,0,28.42918396,-15.40214539,1000,1,1,1428758588,1428758588,0
UMTS,645,1,1008,95647,0,28.254776,-15.39390564,1000,1,1,1443137979,1443137979,0
UMTS,645,1,1008,95810,0,28.317833,-15.439339,1000,12,1,1458861234,1492421548,0
UMTS,645,1,1008,95808,0,28.31794739,-15.44197083,1000,10,1,1458861234,1467595809,0
UMTS,645,1,1008,95564,0,28.32344055,-15.40351868,1000,1,1,1456837507,1456837507,0
UMTS,645,1,1008,95769,0,28.39485168,-15.38841248,1000,1,1,1408433799,1408433799,0
UMTS,645,1,1008,95625,0,28.27057,-15.435791,2751,2,1,1458861234,1481774573,0
UMTS,645,1,1008,95804,0,28.292198,-15.423088,1000,4,1,1458861234,1491752289,0
